Swiggy Order Report
Duration :,2022-12-01,2022-12-31
Restaurant Name & Address :,QMomo,"Shop No 2, Milan Industrial Estate, Off T J Road, Cotton Green (W), Jijamata Nagar, Abhyudaya Nagar, Parel, Mumbai, Maharashtra 400033, India"
Restaurant Id :,634264
Disclaimer,This data is raw data and has not undergone our quality assurance procedures. This is released as preliminary data to be used only with appropriate caution. Final settlements will be based on invoices raised.
Order ID,Order-status,Order-relay-time(ordered time),Order-acceptance-time <placed_time>,Order-delivery-time,Total-bill-amount <bill>,Tax Restaurant,Item-SGST,Item-CGST,Item-IGST,PackagingCharge-SGST,PackagingCharge-CGST,PackagingCharge-IGST,ServiceCharge-SGST,ServiceCharge-CGST,ServiceCharge-IGST,Item-GST-Inclusive,Packaging_GST_Inclusive,ServiceCharge-GST-inclusive,Restaurant Trade Discount,Restaurant Coupon Discount Share,Packing-charge,Cancelled reason,Food-prepared <Yes/No>,Order-Cancellation-time,Edited-status,Item-count,MOU type,Cancellation-responsible-entity,Restaurant-bear,Item1-name_reward_type_quantity_price+Variants+Addons
155579749614,delivered,2022-12-31 22:05:50,2022-12-31 22:06:02,2022-12-31 22:35:25,158.00,7.50,3.75,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,0,0.0,0.00,,,,unedited,2,NEW_MOU,,,Classic Chicken Fried Momos_NA_1_80+Half,Classic Chicken Steamed Momos_NA_1_70+Half
155579673018,cancelled,2022-12-31 22:04:34,2022-12-31 22:04:45,,158.00,7.50,3.75,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,0,0.0,0.00,,,2022-12-31 22:04:49,unedited,2,NEW_MOU,CUSTOMER,,Classic Chicken Fried Momos_NA_1_80+Half,Classic Chicken Steamed Momos_NA_1_70+Half
155571406442,delivered,2022-12-31 19:47:25,2022-12-31 19:47:34,2022-12-31 20:10:05,137.00,6.50,3.25,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,0,0.0,0.00,,,,unedited,1,NEW_MOU,,,Paneer Fried Momos_NA_1_130+Full
155569982669,delivered,2022-12-31 19:23:29,2022-12-31 19:23:38,2022-12-31 19:53:54,231.00,11.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,0,0.0,0.00,,,,unedited,2,NEW_MOU,,,Veg Steamed Momos_NA_1_100+Full,Classic Chicken Steamed Momos_NA_1_120+Full
155566933676,delivered,2022-12-31 18:32:37,2022-12-31 18:33:10,2022-12-31 19:34:45,252.00,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,0,0.0,0.00,,,,unedited,1,NEW_MOU,,,Classic Chicken Steamed Momos_NA_2_240+Full
155555882607,delivered,2022-12-31 15:28:04,2022-12-31 15:31:11,2022-12-31 15:58:39,200.00,9.50,4.75,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,0,0.0,0.00,,,,unedited,2,NEW_MOU,,,Paneer Fried Momos_NA_1_70+Half,Veg Fried Momos_NA_1_120+Full
155540431946,delivered,,,2022-12-31 12:00:16,63.00,3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,0,0.0,0.00,,,,unedited,1,NEW_MOU,,,Paneer Steamed Momos_NA_1_60+Half
155493121148,delivered,2022-12-30 22:02:16,2022-12-30 22:04:00,2022-12-30 22:33:18,273.00,13.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,0,0.0,0.00,,,,unedited,2,NEW_MOU,,,Classic Chicken Steamed Momos_NA_1_120+Full,Classic Chicken Fried Momos_NA_1_140+Full
155483691135,cancelled,2022-12-30 19:25:15,2022-12-30 19:25:50,,210.00,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,0,0.0,0.00,,,2022-12-30 20:22:19,unedited,3,NEW_MOU,SWIGGY,,Cheese Corn Steamed Momos_NA_1_70+Half,Paneer Steamed Momos_NA_1_60+Half,Paneer Fried Momos_NA_1_70+Half
155474412631,delivered,2022-12-30 16:50:46,2022-12-30 16:51:14,2022-12-30 17:27:38,252.00,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,0,0.0,0.00,,,,unedited,2,NEW_MOU,,,Paneer Steamed Momos_NA_1_110+Full,Paneer Fried Momos_NA_1_130+Full
155465174905,delivered,2022-12-30 14:17:06,2022-12-30 14:17:29,2022-12-30 15:08:16,158.00,7.50,3.75,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,0,0.0,0.00,,,,unedited,2,NEW_MOU,,,Paneer Fried Momos_NA_1_70+Half,Classic Chicken Fried Momos_NA_1_80+Half
155398916010,delivered,2022-12-29 19:52:09,2022-12-29 19:52:26,2022-12-29 20:28:43,263.00,12.50,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,0,0.0,0.00,,,,unedited,2,NEW_MOU,,,Classic Chicken Fried Momos_NA_1_140+Full,Paneer Steamed Momos_NA_1_110+Full
155393098823,delivered,2022-12-29 18:15:33,2022-12-29 18:15:46,2022-12-29 18:58:18,126.00,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,false,0,0.0,0.00,,,,unedited,1,NEW_MOU,,,Veg Steamed Momos_NA_2_120+Half
